"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","G119.TMG_RPCH.A","OBS_VALUE","G7","Imports of goods, Volume, Percent change","Annual","Units","8.626","6.811","8.064","2.895","-1.087","-13.201","13.104","5.48","0.852","1.793","4.548","4.347","1.787","4.323","4.143","1.244","-7.33","10.59"
"IMF.RES:WEO(4.0.0)","G200.TMG_RPCH.A","OBS_VALUE","Emerging Market and Developing Economies (EMDE)","Imports of goods, Volume, Percent change","Annual","Units","16.182","12.018","12.399","15.847","9.945","-10.505","15.321","11.082","5.339","4.901","2.689","-0.364","1.95","7.44","5.02","-0.057","-5.555","11.943"
"IMF.RES:WEO(4.0.0)","G163.TMG_RPCH.A","OBS_VALUE","Euro Area (EA)","Imports of goods, Volume, Percent change","Annual","Units","7.35","5.976","9.175","6.689","-0.652","-12.978","9.901","4.393","-2.158","0.678","3.708","5.385","3.69","4.771","4.075","2.061","-7.025","10.479"
"IMF.RES:WEO(4.0.0)","G205.TMG_RPCH.A","OBS_VALUE","Latin America and the Caribbean (LAC)","Imports of goods, Volume, Percent change","Annual","Units","12.882","9.714","12.19","13.234","9.268","-17.092","21.926","10.335","3.875","3.061","0.536","-1.867","-3.454","5.576","5.717","-1.279","-10.215","18.906"
"IMF.RES:WEO(4.0.0)","G505.TMG_RPCH.A","OBS_VALUE","Emerging and Developing Asia","Imports of goods, Volume, Percent change","Annual","Units","19.78","12.471","12.063","12.587","8.029","-2.943","19.009","12.694","5.494","6.192","4.007","0.449","4.845","9.433","8.062","-1.275","-4.045","13.247"
"IMF.RES:WEO(4.0.0)","G400.TMG_RPCH.A","OBS_VALUE","Middle East and Central Asia","Imports of goods, Volume, Percent change","Annual","Units","14.949","13.398","8.315","21.013","16.091","-5.178","-1.119","4.929","11.702","7.301","3.877","1.442","-0.78","2.2","-2.398","0.298","-12.103","4.83"
"IMF.RES:WEO(4.0.0)","G510.TMG_RPCH.A","OBS_VALUE","ASEAN-5","Imports of goods, Volume, Percent change","Annual","Units","19.744","12.946","7.303","4.6","7.823","-17.223","19.846","8.896","4.594","2.621","-0.688","-1.519","0.897","9.921","7.368","-4.195","-7.934","14.763"
"IMF.RES:WEO(4.0.0)","G603.TMG_RPCH.A","OBS_VALUE","Sub-Saharan Africa (SSA)","Imports of goods, Volume, Percent change","Annual","Units","6.975","15.539","7.511","15.739","12.107","-5.47","10.52","11.035","5.042","4.55","6.704","5.979","-7.422","-1.601","3.615","7.144","-4.084","1.682"
"IMF.RES:WEO(4.0.0)","GAB.TMG_RPCH.A","OBS_VALUE","Gabon","Imports of goods, Volume, Percent change","Annual","Units","2.012","-7.017","16.591","-12.105","2.287","44.744","-2.134","-0.454","-1.03","18.082","7.211","20.058","29.498","-19.873","-19.78","7.15","10.003","-13.366"
"IMF.RES:WEO(4.0.0)","G903.TMG_RPCH.A","OBS_VALUE","Emerging and Developing Europe (EDE)","Imports of goods, Volume, Percent change","Annual","Units","15.809","11.213","17.882","21.021","9.089","-23.851","18.557","12.876","1.502","1.25","-1.133","-4.996","5.336","11.491","2.154","2.62","-0.741","10.506"
