"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","MLI.LP.A","OBS_VALUE","Mali","Population, Number","Annual","Millions","12.752","13.181","13.624","14.081","14.551","15.033","15.529","16.04","16.515","17.004","17.552","18.113","18.7","19.311","19.934","20.567","21.23","21.915"
"IMF.RES:WEO(4.0.0)","MNE.LP.A","OBS_VALUE","Montenegro","Population, Number","Annual","Millions","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(4.0.0)","MMR.LP.A","OBS_VALUE","Myanmar","Population, Number","Annual","Millions","47.304","47.598","47.887","48.186","48.496","48.818","49.159","49.521","49.909","50.324","50.758","51.199","51.633","52.05","52.449","52.832","53.199","53.55"
"IMF.RES:WEO(4.0.0)","MOZ.LP.A","OBS_VALUE","Mozambique, Republic of","Population, Number","Annual","Millions","19.911","20.494","21.08","21.673","22.277","22.895","23.532","24.188","24.863","25.561","26.286","27.042","27.83","28.649","29.424","30.286","31.178","32.077"
"IMF.RES:WEO(4.0.0)","MWI.LP.A","OBS_VALUE","Malawi","Population, Number","Annual","Millions","13.385","13.654","14.043","14.439","14.846","15.274","15.714","16.166","16.632","17.111","17.604","18.111","18.632","19.169","19.721","20.289","20.873","21.474"
"IMF.RES:WEO(4.0.0)","MUS.LP.A","OBS_VALUE","Mauritius","Population, Number","Annual","Millions","1.221","1.228","1.234","1.24","1.244","1.247","1.25","1.252","1.256","1.259","1.261","1.263","1.264","1.265","1.266","1.265","1.266","1.264"
"IMF.RES:WEO(4.0.0)","MRT.LP.A","OBS_VALUE","Mauritania, Islamic Republic of","Population, Number","Annual","Millions","2.965","3.047","2.953","3.036","3.119","3.202","3.285","3.369","3.454","3.537","3.621","3.706","3.794","3.881","3.97","4.058","4.147","4.24"
"IMF.RES:WEO(4.0.0)","NER.LP.A","OBS_VALUE","Niger","Population, Number","Annual","Millions","13.126","13.624","14.144","14.685","15.251","15.843","16.464","17.115","17.795","18.504","19.24","20.002","20.789","21.602","22.443","23.311","24.207","25.131"
"IMF.RES:WEO(4.0.0)","NLD.LP.A","OBS_VALUE","Netherlands, The","Population, Number","Annual","Millions","16.258","16.306","16.334","16.358","16.405","16.486","16.575","16.656","16.73","16.78","16.829","16.901","16.979","17.082","17.181","17.282","17.408","17.475"
"IMF.RES:WEO(4.0.0)","NGA.LP.A","OBS_VALUE","Nigeria","Population, Number","Annual","Millions","135.32","138.865","142.538","146.34","150.27","154.325","158.503","162.805","167.229","171.766","176.405","181.137","185.96","190.873","195.875","200.964","206.14","211.401"
"IMF.RES:WEO(4.0.0)","NIC.LP.A","OBS_VALUE","Nicaragua","Population, Number","Annual","Millions","5.375","5.483","5.523","5.596","5.669","5.77","5.843","5.916","6.094","6.158","6.222","6.287","6.353","6.419","6.485","6.553","6.496","6.539"
"IMF.RES:WEO(4.0.0)","NRU.LP.A","OBS_VALUE","Nauru, Republic of","Population, Number","Annual","Millions","0.01","0.01","0.009","0.009","0.009","0.01","0.01","0.01","0.01","0.011","0.011","0.012","0.012","0.013","0.012","0.012","0.012","0.012"
"IMF.RES:WEO(4.0.0)","NPL.LP.A","OBS_VALUE","Nepal","Population, Number","Annual","Millions","26.004","26.285","26.519","26.714","26.882","27.027","27.162","27.266","27.331","27.382","27.462","27.61","27.861","28.183","28.507","28.832","29.349","30.035"
"IMF.RES:WEO(4.0.0)","NOR.LP.A","OBS_VALUE","Norway","Population, Number","Annual","Millions","4.599","4.632","4.672","4.722","4.787","4.843","4.908","4.973","5.038","5.096","5.156","5.205","5.252","5.29","5.324","5.357","5.385","5.415"
"IMF.RES:WEO(4.0.0)","PAK.LP.A","OBS_VALUE","Pakistan","Population, Number","Annual","Millions","149.36","153.04","156.81","160.67","164.63","168.69","172.86","177.13","181.52","186.01","190.62","195.35","200.19","205.17","209.75","213.95","218.24","222.59"
"IMF.RES:WEO(4.0.0)","PAN.LP.A","OBS_VALUE","Panama","Population, Number","Annual","Millions","3.289","3.351","3.413","3.476","3.538","3.6","3.662","3.724","3.788","3.851","3.913","3.975","4.037","4.098","4.159","4.219","4.279","4.337"
"IMF.RES:WEO(4.0.0)","PER.LP.A","OBS_VALUE","Peru","Population, Number","Annual","Millions","27.492","27.722","27.935","28.122","28.3","28.485","28.693","28.906","29.113","29.341","29.616","29.964","30.423","30.974","31.562","32.131","32.626","33.035"
"IMF.RES:WEO(4.0.0)","PHL.LP.A","OBS_VALUE","Philippines","Population, Number","Annual","Millions","83.55","85.17","86.79","88.39","89.98","91.56","93.14","94.7","96.25","97.79","99.31","100.83","102.53","104.17","105.76","107.29","109.2","110.08"
"IMF.RES:WEO(4.0.0)","PRT.LP.A","OBS_VALUE","Portugal","Population, Number","Annual","Millions","10.484","10.503","10.522","10.543","10.558","10.568","10.573","10.558","10.515","10.457","10.401","10.358","10.325","10.3","10.284","10.286","10.297","10.295"
"IMF.RES:WEO(4.0.0)","PNG.LP.A","OBS_VALUE","Papua New Guinea","Population, Number","Annual","Millions","5.647","5.781","5.917","6.056","6.196","6.339","6.738","7.254","7.615","7.993","8.39","8.807","9.245","9.704","10.186","10.693","11.224","11.782"
"IMF.RES:WEO(4.0.0)","POL.LP.A","OBS_VALUE","Poland, Republic of","Population, Number","Annual","Millions","38.191","38.174","38.157","38.125","38.116","38.136","38.023","38.063","38.064","38.063","38.018","38.006","37.967","37.973","37.977","37.973","37.958","37.073"
