"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","G200.PPPPC.A","OBS_VALUE","Emerging Market and Developing Economies (EMDE)","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","5194.855","5645.544","6181.18","6763.834","7172.7","7275.057","7779.851","8301.468","8741.752","9192.972","9643.749","10000.875","10382.081","10920.573","11634.11","12263.461","12207.968","13619.964"
"IMF.RES:WEO(4.0.0)","G603.PPPPC.A","OBS_VALUE","Sub-Saharan Africa (SSA)","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","2508.232","2675.563","2844.614","3026.332","3163.252","3203.935","3368.301","3478.494","3613.431","3746.534","3890.907","3942.704","3928.656","4004.554","4086.227","4270.636","4230.127","4558.02"
"IMF.RES:WEO(4.0.0)","G510.PPPPC.A","OBS_VALUE","ASEAN-5","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","6631.919","7096.489","7621.456","8213.465","8656.274","8748.701","9396.437","9875.271","10539.176","11093.47","11630.815","12131.094","12672.432","13421.067","14313.148","15044.748","14422.355","15743.817"
"IMF.RES:WEO(4.0.0)","G400.PPPPC.A","OBS_VALUE","Middle East and Central Asia","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","7658.687","8187.234","8761.455","9319.832","9717.39","9710.615","10110.564","10703.82","10845.294","11063.056","11333.788","11484.086","11813.631","12040.046","12676.248","12753.184","12117.929","13204.288"
"IMF.RES:WEO(4.0.0)","G505.PPPPC.A","OBS_VALUE","Emerging and Developing Asia","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","3524.506","3911.45","4372.848","4911.685","5299.644","5666.242","6197.943","6727.617","7251.295","7799.802","8392.603","8964.591","9570.376","10291.935","11156.575","11998.491","12170.136","13594.508"
"IMF.RES:WEO(4.0.0)","GAB.PPPPC.A","OBS_VALUE","Gabon","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","13109.96","13087.542","12910.949","13689.822","13675.617","12954.096","13423.587","14135.027","14599.492","15077.581","15459.394","15688.786","15763.971","15761.197","16586.908","17385.296","15952.302","20623.766"
"IMF.RES:WEO(4.0.0)","G998.PPPPC.A","OBS_VALUE","European Union (EU)","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","29506.553","30963.053","33007.17","34902.426","35766.348","34376.025","35440.349","36803.305","37162.199","37734.814","38994.832","40229.068","41323.271","43257.86","45254.323","48782.405","47665.022","52766.089"
"IMF.RES:WEO(4.0.0)","G903.PPPPC.A","OBS_VALUE","Emerging and Developing Europe (EDE)","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","12950.962","14190.587","15718.661","17303.083","18388.38","17356.653","18298.632","19673.001","20607.304","21487.711","22202.567","22510.049","23046.0","24371.311","26106.135","28165.433","28783.01","33612.013"
"IMF.RES:WEO(4.0.0)","GHA.PPPPC.A","OBS_VALUE","Ghana","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","2603.389","2784.561","2966.713","3098.773","3365.87","3500.273","3625.685","4116.225","4439.615","4730.303","4838.131","4875.859","4977.533","5361.918","5739.391","6219.567","6265.228","6844.165"
"IMF.RES:WEO(4.0.0)","GEO.PPPPC.A","OBS_VALUE","Georgia","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","5092.839","5786.594","6575.654","7633.39","8020.62","7813.253","8522.217","9454.664","10358.464","11137.826","11800.116","12292.16","12813.996","13724.766","15009.736","16755.191","16817.378","18814.285"
"IMF.RES:WEO(4.0.0)","GIN.PPPPC.A","OBS_VALUE","Guinea","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","1525.975","1587.701","1639.414","1749.203","1808.556","1744.614","1792.46","1882.725","1979.791","2040.558","2099.431","2146.325","2342.607","2566.02","2718.324","2970.821","3189.645","3580.528"
"IMF.RES:WEO(4.0.0)","GBR.PPPPC.A","OBS_VALUE","United Kingdom","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","33130.818","34834.455","36513.365","38178.204","38499.787","36688.03","37661.401","38553.511","39601.136","40743.604","42452.372","43453.689","44343.18","46061.349","47107.713","49940.539","47987.784","52673.088"
"IMF.RES:WEO(4.0.0)","GMB.PPPPC.A","OBS_VALUE","Gambia, The","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","1926.759","1881.099","1870.534","1921.245","2019.87","2104.275","2189.123","1991.602","2071.289","2102.28","2045.936","2085.039","2082.577","2157.112","2396.833","2533.134","2631.596","2871.409"
"IMF.RES:WEO(4.0.0)","GNB.PPPPC.A","OBS_VALUE","Guinea-Bissau","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","1444.862","1554.305","1609.942","1659.536","1729.592","1743.181","1849.248","1996.086","1955.407","2009.236","2019.519","2116.722","2201.79","2297.997","2276.179","2318.515","2314.153","2525.711"
