"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDEX_TYPE.Name","COICOP_1999.Name","TYPE_OF_TRANSFORMATION.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.STA:CPI(1.0.0)","DMA.CPI._T.IX.A","OBS_VALUE","Dominica","Consumer price index (CPI)","All Items","Index","Annual","Units","84.62316846110255","86.046446207399","87.94152567527452","91.13575649639762","96.9319193718125","96.93799077147251","99.8455162038911","100.975","102.345","102.2975","103.11511315","102.245","102.39","102.6933333333333","103.7091666666667","105.2695992","104.5041666666667","106.0541666666666"
"IMF.STA:CPI(1.0.0)","DNK.CPI._T.IX.A","OBS_VALUE","Denmark","Consumer price index (CPI)","All Items","Index","Annual","Units","82.51666666666665","84.01666666666665","85.63333333333335","87.08333333333331","90.05833333333332","91.23333333333332","93.34166666666668","95.91666666666664","98.21666666666668","98.99166666666667","99.55","99.99999999999999","100.25","101.4","102.225","103.0","103.4333333333334","105.35"
"IMF.STA:CPI(1.0.0)","DOM.CPI._T.IX.A","OBS_VALUE","Dominican Republic","Consumer price index (CPI)","All Items","Index","Annual","Units","51.7328995296638","53.90061283325325","57.98240126549002","61.54458867596168","68.09577694522253","69.07782109017433","73.4504003314292","77.70814970133571","80.57907502207821","84.47181062638575","87.00481803867348","87.73282767508643","89.14898121382062","92.07267282020695","95.3545427144325","97.08103566009592","100.7517004893533","109.0566666666666"
"IMF.STA:CPI(1.0.0)","DZA.CPI._T.IX.A","OBS_VALUE","Algeria","Consumer price index (CPI)","All Items","Index","Annual","Units","","111.4716666666667","114.0483333333334","118.2441666666667","123.9891666666667","131.1025","136.23","142.3933333333333","155.0541666666667","160.1","164.77","172.6533333333333","183.6991666666667","193.97","202.2525","206.2","211.18","226.44"
"IMF.STA:CPI(1.0.0)","ECU.CPI._T.IX.A","OBS_VALUE","Ecuador","Consumer price index (CPI)","All Items","Index","Annual","Units","66.68679560073488","68.13275005967648","70.380278104785","71.98226328314271","78.02884245861985","82.05510598795138","84.97165408615957","88.7737384982522","93.30272767640298","95.8422187176763","99.28220695959271","103.2203808815514","105.0043022186284","105.442522541418","105.2062224257326","105.4860841444342","105.1286209272738","105.2687062718434"
"IMF.STA:CPI(1.0.0)","EGY.CPI._T.IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","35.63843575574855","39.2254179376609","42.01502353051978","45.99372853723832","50.62539610304932","55.87549791728328","63.59391917015175","82.35832786208778","94.2191342667378","102.8428228046656","108.0311741971116","113.6639729926915"
"IMF.STA:CPI(1.0.0)","ESP.CPI._T.IX.A","OBS_VALUE","Spain","Consumer price index (CPI)","All Items","Index","Annual","Units","75.47908333333332","78.02183333333332","80.76475","83.0155","86.39866666666666","86.14999999999998","87.70058333333336","90.50358333333332","92.71741666666665","94.02341666666668","93.88133333333332","93.41158333333335","93.22233333333332","95.04583333333332","96.63783333333332","97.31383333333332","96.99975","100.0000833333334"
"IMF.STA:CPI(1.0.0)","EST.CPI._T.IX.A","OBS_VALUE","Estonia, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","132.975","138.4","144.5416666666667","154.0833333333334","170.05","169.9166666666667","174.9666666666667","183.6833333333333","190.9083333333334","196.2166666666667","196.0083333333334","195.0433333333333","195.3333333333333","202.0083333333333","208.95","213.7083333333333","212.7583333333334","222.6583333333333"
"IMF.STA:CPI(1.0.0)","ETH.CPI._T.IX.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","18.18925458962711","20.0027180400973","22.4629476070917","26.33564981370588","38.01727127515785","41.2425212458794","44.60348319469095","59.43412346304948","73.4608248431814","78.9439569190278","84.38321095742926","92.4577556591838","98.58597901731832","109.1219759967969","124.2168578478749","143.8550861691586","173.1387264796152","219.6083333333334"
"IMF.STA:CPI(1.0.0)","FIN.CPI._T.IX.A","OBS_VALUE","Finland","Consumer price index (CPI)","All Items","Index","Annual","Units","83.31991583333333","83.83972749999998","85.15321416666669","87.29112666666668","90.84034333333335","90.84034250000002","91.916015","95.05660833333332","97.7261175","99.17078916666668","100.2033516666667","99.99500000000002","100.3516666666667","101.1083333333333","102.2041666666667","103.2508333333333","103.5508333333333","105.8233333333334"
"IMF.STA:CPI(1.0.0)","FRA.CPI._T.IX.A","OBS_VALUE","France","Consumer price index (CPI)","All Items","Index","Annual","Units","86.34666666666668","87.85416666666669","89.32583333333332","90.655","93.205","93.28666666666665","94.715","96.715","98.60499999999998","99.45666666666668","99.96166666666667","99.99916666666668","100.1825","101.2166666666666","103.09","104.2325","104.7291666666666","106.4491666666666"
"IMF.STA:CPI(1.0.0)","FSM.CPI._T.IX.A","OBS_VALUE","Micronesia, Federated States of","Consumer price index (CPI)","All Items","Index","Annual","Units","66.959019110717","69.8099331214966","73.0472780770292","75.4624714817353","81.8192230574702","87.050419011642","89.9350171305719","94.5060489501374","99.2488383531947","100.988002915546","101.644712641004","101.341693654761","100.290305947522","100.87425","102.38575","104.3555","104.93425","108.283"
"IMF.STA:CPI(1.0.0)","GAB.CPI._T.IX.A","OBS_VALUE","Gabon","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","82.1594739148081","83.19740858027627","85.4041518597332","85.83581950925098","89.86191215878517","89.55746432386943","91.4441778082936","93.86920958093872","98.3271207865169","100.75045910959","102.1133721353","103.22325"
"IMF.STA:CPI(1.0.0)","GBR.CPI._T.IX.A","OBS_VALUE","United Kingdom","Consumer price index (CPI)","All Items","Index","Annual","Units","77.78333333333332","79.40833333333332","81.35833333333332","83.29999999999998","86.23333333333332","87.925","90.11666666666667","93.59166666666668","96.0","98.2","99.625","99.99166666666665","101.0","103.5833333333333","105.9583333333333","107.8","108.8666666666667","111.6083333333334"
"IMF.STA:CPI(1.0.0)","GEO.CPI._T.IX.A","OBS_VALUE","Georgia","Consumer price index (CPI)","All Items","Index","Annual","Units","","69.96351666666665","76.37285","83.43344166666668","91.77635833333335","93.36180833333331","100.0","108.5429333333333","107.5186583333333","106.9681","110.25075","114.664725","117.1127333333333","124.1808583333333","127.4284916666667","133.6124666666666","140.5636083333334","154.0112083333334"
