"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","MRT.TXG_RPCH.A","OBS_VALUE","Mauritania, Islamic Republic of","Exports of goods, Volume, Percent change","Annual","Units","17.342","9.213","36.27","0.474","2.532","-7.536","14.015","3.356","10.125","-3.939","-0.949","2.006","-2.576","19.028","-0.194","12.045","1.867","-9.656"
"IMF.RES:WEO(4.0.0)","MOZ.TXG_RPCH.A","OBS_VALUE","Mozambique, Republic of","Exports of goods, Volume, Percent change","Annual","Units","26.894","9.506","15.482","-8.557","13.201","-5.43","-5.176","24.61","29.877","13.625","-5.008","-3.221","0.563","34.072","4.133","-5.683","-18.127","22.97"
"IMF.RES:WEO(4.0.0)","MYS.TXG_RPCH.A","OBS_VALUE","Malaysia","Exports of goods, Volume, Percent change","Annual","Units","20.149","4.681","6.36","-7.326","-11.821","-12.963","10.075","5.251","-3.844","1.852","6.595","6.019","3.278","10.778","5.623","-1.644","1.361","14.501"
"IMF.RES:WEO(4.0.0)","MWI.TXG_RPCH.A","OBS_VALUE","Malawi","Exports of goods, Volume, Percent change","Annual","Units","9.66","-10.568","10.601","43.617","7.846","-29.541","37.062","-9.4","0.681","21.996","3.179","-22.383","-7.294","-11.509","2.227","8.092","-11.529","28.924"
"IMF.RES:WEO(4.0.0)","NIC.TXG_RPCH.A","OBS_VALUE","Nicaragua","Exports of goods, Volume, Percent change","Annual","Units","19.53","4.477","74.561","10.709","2.082","2.348","17.377","6.152","13.92","5.255","6.32","-3.289","1.996","9.428","2.908","7.199","-2.125","19.968"
"IMF.RES:WEO(4.0.0)","NOR.TXG_RPCH.A","OBS_VALUE","Norway","Exports of goods, Volume, Percent change","Annual","Units","0.543","-0.116","-1.193","0.75","1.571","-4.403","-1.92","-1.774","0.454","-2.619","3.47","3.405","-0.939","2.589","-2.098","0.678","2.776","5.583"
"IMF.RES:WEO(4.0.0)","PAN.TXG_RPCH.A","OBS_VALUE","Panama","Exports of goods, Volume, Percent change","Annual","Units","18.628","17.375","11.285","14.662","14.818","-1.375","1.781","25.925","3.801","-10.549","-15.895","-11.104","-8.431","2.769","2.48","-1.936","-15.594","27.41"
"IMF.RES:WEO(4.0.0)","OMN.TXG_RPCH.A","OBS_VALUE","Oman","Exports of goods, Volume, Percent change","Annual","Units","-6.657","8.074","0.892","3.699","20.54","-0.803","5.523","4.576","11.973","9.842","1.931","-0.192","-13.248","3.314","6.766","-2.381","7.685","-11.212"
"IMF.RES:WEO(4.0.0)","PHL.TXG_RPCH.A","OBS_VALUE","Philippines","Exports of goods, Volume, Percent change","Annual","Units","8.276","-1.636","13.082","-2.517","-0.642","-9.16","17.952","3.781","20.004","-5.271","14.633","-6.949","5.991","24.623","3.904","3.466","-11.314","9.132"
"IMF.RES:WEO(4.0.0)","PER.TXG_RPCH.A","OBS_VALUE","Peru","Exports of goods, Volume, Percent change","Annual","Units","11.28","14.531","-0.7","1.672","7.481","0.197","1.358","5.653","5.214","-3.366","-0.957","2.9","11.363","8.014","1.631","1.223","-13.882","12.719"
