"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","HKG.LUR.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Unemployment rate","Annual","Units","6.809","5.591","4.79","4.011","3.519","5.262","4.329","3.421","3.286","3.401","3.296","3.315","3.393","3.124","2.805","2.916","5.808","5.175"
"IMF.RES:WEO(4.0.0)","HUN.LUR.A","OBS_VALUE","Hungary","Unemployment rate","Annual","Units","6.122","6.8","7.075","7.0","7.425","9.675","10.775","10.675","10.675","9.825","7.525","6.625","4.975","4.0","3.6","3.3","4.125","4.05"
"IMF.RES:WEO(4.0.0)","IRN.LUR.A","OBS_VALUE","Iran, Islamic Republic of","Unemployment rate","Annual","Units","12.3","11.5","11.3","10.5","10.4","11.9","13.5","12.3","12.1","10.4","10.6","11.0","12.425","12.075","12.125","10.65","9.6","9.175"
"IMF.RES:WEO(4.0.0)","ISL.LUR.A","OBS_VALUE","Iceland","Unemployment rate","Annual","Units","3.417","2.883","3.2","2.492","3.325","8.008","8.317","7.7","6.617","5.833","5.417","4.5","3.342","3.283","3.1","3.925","6.433","6.017"
"IMF.RES:WEO(4.0.0)","ISR.LUR.A","OBS_VALUE","Israel","Unemployment rate","Annual","Units","12.9","11.2","10.45","9.15","7.65","9.425","8.25","7.05","6.892","6.208","5.883","5.258","4.833","4.225","4.0","3.808","4.317","4.958"
"IMF.RES:WEO(4.0.0)","JOR.LUR.A","OBS_VALUE","Jordan","Unemployment rate","Annual","Units","14.7","14.844","14.058","12.7","12.65","12.85","12.475","12.875","12.15","12.6","11.875","13.075","15.275","18.3","18.6","19.075","22.7","24.075"
"IMF.RES:WEO(4.0.0)","ITA.LUR.A","OBS_VALUE","Italy","Unemployment rate","Annual","Units","8.042","7.758","6.867","6.208","6.783","7.875","8.5","8.583","10.908","12.35","12.767","12.008","11.725","11.283","10.617","9.9","9.358","9.517"
"IMF.RES:WEO(4.0.0)","KAZ.LUR.A","OBS_VALUE","Kazakhstan, Republic of","Unemployment rate","Annual","Units","8.38","8.088","7.788","7.257","6.627","6.554","5.762","5.388","5.283","5.192","5.136","5.037","4.93","4.872","4.828","4.794","4.925","4.9"
"IMF.RES:WEO(4.0.0)","KOS.LUR.A","OBS_VALUE","Kosovo, Republic of","Unemployment rate","Annual","Units","","","","","","","","","30.9","30.0","35.3","32.9","27.525","30.475","29.5","25.65","25.95","20.75"
"IMF.RES:WEO(4.0.0)","LUX.LUR.A","OBS_VALUE","Luxembourg","Unemployment rate","Annual","Units","3.692","4.083","4.233","4.183","4.142","5.483","5.817","5.658","6.099","6.83","7.092","6.648","6.263","5.843","5.103","5.406","6.362","5.746"
